0,00	15359	35,0	1,00	6,0	3,0
5,00	15344	35,0	1,00	6,4	3,2
10,00	15327	35,0	1,00	6,8	3,4
15,00	15321	35,0	1,00	7,2	3,6
20,00	15323	35,0	1,00	7,6	3,8
25,00	15373	35,0	1,00	8,0	4,0
30,00	15363	35,0	1,00	8,4	4,2
35,00	15118	35,0	1,00	8,8	4,4
40,00	14562	35,0	1,00	9,2	4,6
45,00	14379	35,0	1,00	9,6	4,8
50,00	14354	35,0	1,00	10,0	5,0
55,00	14125	35,0	1,00	10,4	5,2
60,00	12636	35,0	1,00	10,8	5,4
65,00	10083	35,0	1,00	11,2	5,6
70,00	6572	35,0	1,00	11,6	5,8
75,00	4636	35,0	1,00	12,0	6,0
80,00	3420	35,0	1,00	12,4	6,2
85,00	2878	35,0	1,00	12,8	6,4
90,00	2612	35,0	1,00	13,2	6,6
95,00	2408	35,0	1,00	13,6	6,8
100,00	2218	35,0	1,00	14,0	7,0
105,00	2034	35,0	1,00	14,4	7,2
110,00	1895	35,0	1,00	14,8	7,4
115,00	1781	35,0	1,00	15,2	7,6
120,00	1682	35,0	1,00	15,6	7,8
125,00	1585	35,0	1,00	16,0	8,0
130,00	1524	35,0	1,00	16,4	8,2
135,00	1453	35,0	1,00	16,8	8,4
140,00	1443	35,0	1,00	17,2	8,6
145,00	1730	35,0	1,00	17,6	8,8
150,00	2511	35,0	1,00	18,0	9,0
155,00	1733	35,0	1,00	18,4	9,2
160,00	1325	35,0	1,00	18,8	9,4
165,00	1314	35,0	1,00	19,2	9,6
170,00	1615	35,0	1,00	19,6	9,8
175,00	3286	35,0	1,00	20,0	10,0
180,00	7115	35,0	1,00	20,4	10,2
185,00	2056	35,0	1,00	20,8	10,4
190,00	1355	35,0	1,00	21,2	10,6
195,00	1304	35,0	1,00	21,6	10,8
200,00	1285	35,0	1,00	22,0	11,0
205,00	1292	35,0	1,00	22,4	11,2
210,00	1272	35,0	1,00	22,8	11,4
215,00	1256	35,0	1,00	23,2	11,6
220,00	1181	35,0	1,00	23,6	11,8
225,00	1208	35,0	1,00	24,0	12,0
230,00	1195	35,0	1,00	24,4	12,2
235,00	1173	35,0	1,00	24,8	12,4
240,00	1186	35,0	1,00	25,2	12,6
245,00	1164	35,0	1,00	25,6	12,8
250,00	1193	35,0	1,00	26,0	13,0
255,00	1123	35,0	1,00	26,4	13,2
260,00	1036	35,0	1,00	26,8	13,4
265,00	1050	35,0	1,00	27,2	13,6
270,00	1075	35,0	1,00	27,6	13,8
275,00	1092	35,0	1,00	28,0	14,0
280,00	1075	35,0	1,00	28,4	14,2
285,00	1062	35,0	1,00	28,8	14,4
290,00	1068	35,0	1,00	29,2	14,6
295,00	1069	35,0	1,00	29,6	14,8
300,00	1057	35,0	1,00	30,0	15,0
305,00	1005	35,0	1,00	30,4	15,2
310,00	1045	35,0	1,00	30,8	15,4
315,00	1030	35,0	1,00	31,2	15,6
320,00	1010	35,0	1,00	31,6	15,8
325,00	1029	35,0	1,00	32,0	16,0
330,00	997	35,0	1,00	32,4	16,2
335,00	996	35,0	1,00	32,8	16,4
340,00	968	35,0	1,00	33,2	16,6
345,00	963	35,0	1,00	33,6	16,8
350,00	948	35,0	1,00	34,0	17,0
355,00	946	35,0	1,00	34,4	17,2
360,00	921	35,0	1,00	34,8	17,4
365,00	903	35,0	1,00	35,2	17,6
370,00	886	35,0	1,00	35,6	17,8
375,00	954	35,0	1,00	36,0	18,0
380,00	1062	35,0	1,00	36,4	18,2
385,00	1040	35,0	1,00	36,8	18,4
390,00	860	35,0	1,00	37,2	18,6
395,00	877	35,0	1,00	37,6	18,8
400,00	855	35,0	1,00	38,0	19,0
405,00	851	35,0	1,00	38,4	19,2
410,00	857	35,0	1,00	38,8	19,4
415,00	829	35,0	1,00	39,2	19,6
420,00	831	35,0	1,00	39,6	19,8
425,00	811	35,0	1,00	40,0	20,0
430,00	804	35,0	1,00	40,4	20,2
435,00	1009	35,0	1,00	40,8	20,4
440,00	1814	35,0	1,00	41,2	20,6
445,00	1475	35,0	1,00	41,6	20,8
450,00	795	35,0	1,00	42,0	21,0
455,00	708	35,0	1,00	42,4	21,2
460,00	710	35,0	1,00	42,8	21,4
465,00	712	35,0	1,00	43,2	21,6
470,00	743	35,0	1,00	43,6	21,8
475,00	691	35,0	1,00	44,0	22,0
